Question_text,Type,N_respondents,Category,Count,Percentage
What is your current academic level?,single-select,97,Junior,51,52.6
What is your current academic level?,single-select,97,Sophomore,23,23.7
What is your current academic level?,single-select,97,Senior,23,23.7
"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?",single-select,96,Moderate,51,53.1
"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?",single-select,96,High,27,28.1
"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?",single-select,96,Very HIgh,9,9.4
"How would you rate your prior familiarity with AI tools (ChatGPT, Gemini, Copilot, etc.) before this course?",single-select,96,Low,9,9.4
"Before this course, how often did you use AI tools for academic work?",single-select,97,A few times per week,36,37.1
"Before this course, how often did you use AI tools for academic work?",single-select,97,A few times per month,23,23.7
"Before this course, how often did you use AI tools for academic work?",single-select,97,A few times per semester,23,23.7
"Before this course, how often did you use AI tools for academic work?",single-select,97,Daily or almost daily,11,11.3
"Before this course, how often did you use AI tools for academic work?",single-select,97,Never,4,4.1
"This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",single-select,97,A few times per week,33,34.0
"This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",single-select,97,A few times per month,28,28.9
"This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",single-select,97,A few times per semester,25,25.8
"This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",single-select,97,Daily or almost daily,8,8.2
"This semester (overall, in all courses), how often did you use AI tools (any, including the Virtual TA)?",single-select,97,Never,3,3.1
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Explaining difficult concepts,77,79.4
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Preparing for midterms/exams,59,60.8
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Checking my homework or solutions,56,57.7
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Creating study notes / summaries,53,54.6
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Brainstorming ideas,39,40.2
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Checking my understanding of Class notes,32,33.0
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Generating code or troubleshooting code,28,28.9
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,Drafting written assignments,11,11.3
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,I use Ai mainly for non-academic tasks,8,8.2
For what learning or coursework-related purposes do you typically use AI tools? (Select all that apply.),multi-select,97,I generally do not use AI tools,4,4.1
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,1-2 times total,35,36.1
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,A few times per month,30,30.9
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,Never,18,18.6
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,1-2 times per week,10,10.3
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,3+ times per week,3,3.1
How often did you use the course chatbot (Virtual TA) this semester?,single-select,97,I was not aware of the course chatbot( Virtual TA),1,1.0
When in the semester did you use it most?,single-select,97,Mostly near exams / deadlines,33,34.0
When in the semester did you use it most?,single-select,97,I only tried it once or twice,27,27.8
When in the semester did you use it most?,single-select,97,Mostly at the beginning of the course,17,17.5
When in the semester did you use it most?,single-select,97,Mostly in the middle of the course,16,16.5
When in the semester did you use it most?,single-select,97,Consistently throughout the semester,4,4.1
What did you use the Virtual TA for? (Select all that apply.),multi-select,97,Clarifying lecture concepts,57,58.8
What did you use the Virtual TA for? (Select all that apply.),multi-select,97,Preparing for midterms,39,40.2
What did you use the Virtual TA for? (Select all that apply.),multi-select,97,Just curious / playing with it.,36,37.1
