Question,Question_text,Code,Assigned_label,Appears_in_data,Confidence,Evidence
Q1,How would you rate your prior familiarity with AI tools before this course?,1,None (no prior familiarity),yes,unconfirmed,"Instrument item 1 is prior AI familiarity (None/Low/Moderate/High/Very high), but the Qualtrics stem reads 'Did you find this explanation useful?'. Response pattern supports the instrument: rho=+0.52 with pre-course AI use and +0.49 with semester AI use, but only +0.08 with Virtual TA use. Treated as familiarity; set Q1_IS_FAMILIARITY = False in codebook_me140.py to drop it."
Q1,How would you rate your prior familiarity with AI tools before this course?,2,Low,yes,unconfirmed,"Instrument item 1 is prior AI familiarity (None/Low/Moderate/High/Very high), but the Qualtrics stem reads 'Did you find this explanation useful?'. Response pattern supports the instrument: rho=+0.52 with pre-course AI use and +0.49 with semester AI use, but only +0.08 with Virtual TA use. Treated as familiarity; set Q1_IS_FAMILIARITY = False in codebook_me140.py to drop it."
Q1,How would you rate your prior familiarity with AI tools before this course?,3,Moderate,yes,unconfirmed,"Instrument item 1 is prior AI familiarity (None/Low/Moderate/High/Very high), but the Qualtrics stem reads 'Did you find this explanation useful?'. Response pattern supports the instrument: rho=+0.52 with pre-course AI use and +0.49 with semester AI use, but only +0.08 with Virtual TA use. Treated as familiarity; set Q1_IS_FAMILIARITY = False in codebook_me140.py to drop it."
Q1,How would you rate your prior familiarity with AI tools before this course?,4,High,yes,unconfirmed,"Instrument item 1 is prior AI familiarity (None/Low/Moderate/High/Very high), but the Qualtrics stem reads 'Did you find this explanation useful?'. Response pattern supports the instrument: rho=+0.52 with pre-course AI use and +0.49 with semester AI use, but only +0.08 with Virtual TA use. Treated as familiarity; set Q1_IS_FAMILIARITY = False in codebook_me140.py to drop it."
Q1,How would you rate your prior familiarity with AI tools before this course?,5,Very high,yes,unconfirmed,"Instrument item 1 is prior AI familiarity (None/Low/Moderate/High/Very high), but the Qualtrics stem reads 'Did you find this explanation useful?'. Response pattern supports the instrument: rho=+0.52 with pre-course AI use and +0.49 with semester AI use, but only +0.08 with Virtual TA use. Treated as familiarity; set Q1_IS_FAMILIARITY = False in codebook_me140.py to drop it."
Q2,"Before this course, how often did you use AI tools for academic work?",1,Never,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q2,"Before this course, how often did you use AI tools for academic work?",2,A few times per semester,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q2,"Before this course, how often did you use AI tools for academic work?",3,A few times per month,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q2,"Before this course, how often did you use AI tools for academic work?",4,A few times per week,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q2,"Before this course, how often did you use AI tools for academic work?",5,Daily or almost daily,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q3,"This semester (overall, in all courses), how often did you use AI tools?",1,Never,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q3,"This semester (overall, in all courses), how often did you use AI tools?",2,A few times per semester,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q3,"This semester (overall, in all courses), how often did you use AI tools?",3,A few times per month,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q3,"This semester (overall, in all courses), how often did you use AI tools?",4,A few times per week,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q3,"This semester (overall, in all courses), how often did you use AI tools?",5,Daily or almost daily,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,1,Explaining difficult concepts,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,2,Checking my homework or solutions,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,3,Generating or troubleshooting code,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,4,Drafting written assignments,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,5,Brainstorming ideas,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,6,Creating study notes / summaries,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,7,Preparing for midterms/exams,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,8,Checking my understanding of class notes,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,9,Mainly for non-academic tasks,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q4,For what learning or coursework-related purposes do you typically use AI tools?,10,I generally do not use AI tools,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q5,How often did you use the course chatbot (Virtual TA) this semester?,1,Never,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf. The ME 140 instrument has no 'not aware of the Virtual TA' option; the earlier survey did.
Q5,How often did you use the course chatbot (Virtual TA) this semester?,2,1-2 times total,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf. The ME 140 instrument has no 'not aware of the Virtual TA' option; the earlier survey did.
Q5,How often did you use the course chatbot (Virtual TA) this semester?,3,A few times per month,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf. The ME 140 instrument has no 'not aware of the Virtual TA' option; the earlier survey did.
Q5,How often did you use the course chatbot (Virtual TA) this semester?,4,1-2 times per week,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf. The ME 140 instrument has no 'not aware of the Virtual TA' option; the earlier survey did.
Q5,How often did you use the course chatbot (Virtual TA) this semester?,5,3+ times per week,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf. The ME 140 instrument has no 'not aware of the Virtual TA' option; the earlier survey did.
Q6,When in the semester did you use it most?,1,Mostly at the beginning of the course,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q6,When in the semester did you use it most?,2,Mostly in the middle of the course,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q6,When in the semester did you use it most?,3,Mostly near exams / deadlines,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
Q6,When in the semester did you use it most?,4,Consistently throughout the semester,yes,instrument,Option order read from Appendix D of data/ME 140 questions.pdf.
